Item Name	Variation Name	Unit and Precision	SKU	Description	Categories	Reporting Category	SEO Title	SEO Description	Permalink	GTIN	Square Online Item Visibility	Item Type	Weight (kg)	Social Media Link Title	Social Media Link Description	Shipping Enabled	Self-serve Ordering Enabled	Delivery Enabled	Pickup Enabled	Price	Online sale price	Archived	Sellable	Contains alcohol	Stockable	Skip Detail screen in POS	Option Name 1	Option Value 1	Current Quantity SCOOP & TREAT LIMITED	New Quantity SCOOP & TREAT LIMITED	Stock Alert Enabled SCOOP & TREAT LIMITED	Stock Alert Count SCOOP & TREAT LIMITED	Modifier Set - Additional Toppings	Modifier Set - Ice Cream Flavour 2	Modifier Set - Ice Cream Flavours	Modifier Set - Ice Cream Flavours 3	Modifier Set - Serving
Chocolate Cake	Regular	Each	CK001	Delicious chocolate cake	Cakes	Cakes	Chocolate Cake	Delicious chocolate cake	Cakes/Chocolate-Cake		Visible	Physical Item	0.5	Chocolate Cake	Delicious chocolate cake	No	Yes	Yes	Yes	25	20	No	Yes	No	Yes	Yes	No	Option	Size	Medium	10	10	Yes	5	Toppings	Set 1	Flavour 2	Flavour 3	Serving Option
Vanilla Cake	Regular	Each	CK002	Creamy vanilla cake	Cakes	Cakes	Vanilla Cake	Creamy vanilla cake	Cakes/Vanilla-Cake		Visible	Physical Item	0.5	Vanilla Cake	Creamy vanilla cake	No	Yes	Yes	Yes	25	20	No	Yes	No	Yes	Yes	No	Option	Size	Large	10	10	Yes	5	Toppings	Set 1	Flavour 2	Flavour 3	Serving Option
Chocolate Ice Cream	Scoop	Each	IC001	Rich chocolate ice cream	Ice Cream	Ice Cream	Chocolate Ice Cream	Rich chocolate ice cream	Ice-Cream/Chocolate-Ice-Cream		Visible	Physical Item	0.2	Chocolate Ice Cream	Rich chocolate ice cream	No	Yes	Yes	Yes	5	4	No	Yes	No	Yes	Yes	No	Option	Size	Single Scoop	50	50	Yes	20	Toppings	Set 1	Flavour 2	Flavour 3	Serving Option
Vanilla Ice Cream	Scoop	Each	IC002	Creamy vanilla ice cream	Ice Cream	Ice Cream	Vanilla Ice Cream	Creamy vanilla ice cream	Ice-Cream/Vanilla-Ice-Cream		Visible	Physical Item	0.2	Vanilla Ice Cream	Creamy vanilla ice cream	No	Yes	Yes	Yes	5	4	No	Yes	No	Yes	Yes	No	Option	Size	Double Scoop	50	50	Yes	20	Toppings	Set 1	Flavour 2	Flavour 3	Serving Option
Strawberry Waffle	Waffle	Each	WF001	Fresh strawberry waffle	Waffles	Waffles	Strawberry Waffle	Fresh strawberry waffle	Waffles/Strawberry-Waffle		Visible	Physical Item	0.3	Strawberry Waffle	Fresh strawberry waffle	No	Yes	Yes	Yes	8	7	No	Yes	No	Yes	Yes	No	Option	Toppings	Chocolate Syrup	20	20	Yes	10	Toppings	Set 1	Flavour 2	Flavour 3	Serving Option
Belgian Waffle	Waffle	Each	WF002	Crunchy Belgian waffle	Waffles	Waffles	Belgian Waffle	Crunchy Belgian waffle	Waffles/Belgian-Waffle		Visible	Physical Item	0.3	Belgian Waffle	Crunchy Belgian waffle	No	Yes	Yes	Yes	8	7	No	Yes	No	Yes	Yes	No	Option	Toppings	Maple Syrup	20	20	Yes	10	Toppings	Set 1	Flavour 2	Flavour 3	Serving Option
Strawberry Milkshake	Regular	Each	MS001	Fresh strawberry milkshake	Milkshakes	Milkshakes	Strawberry Milkshake	Fresh strawberry milkshake	Milkshakes/Strawberry-Milkshake		Visible	Physical Item	0.4	Strawberry Milkshake	Fresh strawberry milkshake	No	Yes	Yes	Yes	6	5	No	Yes	No	Yes	Yes	No	Option	Size	Medium	15	15	Yes	5	Toppings	Set 1	Flavour 2	Flavour 3	Serving Option
Chocolate Milkshake	Regular	Each	MS002	Rich chocolate milkshake	Milkshakes	Milkshakes	Chocolate Milkshake	Rich chocolate milkshake	Milkshakes/Chocolate-Milkshake		Visible	Physical Item	0.4	Chocolate Milkshake	Rich chocolate milkshake	No	Yes	Yes	Yes	6	5	No	Yes	No	Yes	Yes	No	Option	Size	Large	15	15	Yes	5	Toppings	Set 1	Flavour 2	Flavour 3	Serving Option
Coca-Cola	Regular	Each	DR001	Refreshing Coca-Cola	Drinks	Drinks	Coca-Cola	Refreshing Coca-Cola	Drinks/Coca-Cola		Visible	Physical Item	0.5	Coca-Cola	Refreshing Coca-Cola	No	Yes	Yes	Yes	3	2.5	No	Yes	No	Yes	Yes	No	Option	Size	Medium	30	30	Yes	10	Toppings	Set 1	Flavour 2	Flavour 3	Serving Option
Orange Juice	Regular	Each	DR002	Freshly squeezed orange juice	Drinks	Drinks	Orange Juice	Freshly squeezed orange juice	Drinks/Orange-Juice		Visible	Physical Item	0.5	Orange Juice	Freshly squeezed orange juice	No	Yes	Yes	Yes	4	3.5	No	Yes	No	Yes	Yes	No	Option	Size	Medium	30	30	Yes	10	Toppings	Set 1	Flavour 2	Flavour 3	Serving Option
